Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_45deg,D_SOD-123,168.116913,-62.94,90,top
D2,D_45deg,D_SOD-123,140.21,-62.89,90,top
D3,D_45deg,D_SOD-123,168.116913,-81.94,90,top
D4,D_45deg,D_SOD-123,140.017,-81.59,90,top
D5,D_45deg,D_SOD-123,168.116913,-100.94,90,top
D6,D_45deg,D_SOD-123,168.116913,-119.94,90,top
D7,D_45deg,D_SOD-123,140.017,-100.94,90,top
D8,D_45deg,D_SOD-123,140.017,-119.94,90,top
D9,D_45deg,D_SOD-123,187.116913,-49.975587,90,top
D10,D_45deg,D_SOD-123,187.116913,-68.975587,90,top
D11,D_45deg,D_SOD-123,187.116913,-87.975587,90,top
D12,D_45deg,D_SOD-123,187.116913,-107.325587,90,top
D13,D_45deg,D_SOD-123,121.017,-50.026,90,top
D14,D_45deg,D_SOD-123,121.017,-69.026,90,top
D15,D_45deg,D_SOD-123,121.017,-88.026,90,top
D16,D_45deg,D_SOD-123,120.517,-107.176,90,top
D17,D_45deg,D_SOD-123,206.116913,-46.325587,90,top
D18,D_45deg,D_SOD-123,206.116913,-65.475587,90,top
D19,D_45deg,D_SOD-123,206.116913,-84.325587,90,top
D20,D_45deg,D_SOD-123,206.116913,-103.325587,90,top
D21,D_45deg,D_SOD-123,102.017,-45.676,90,top
D22,D_45deg,D_SOD-123,102.017,-64.026,90,top
D23,D_45deg,D_SOD-123,102.017,-83.176,90,top
D24,D_45deg,D_SOD-123,102.017,-102.676,90,top
D25,D_45deg,D_SOD-123,225.116913,-50.825587,90,top
D26,D_45deg,D_SOD-123,225.116913,-69.975587,90,top
D27,D_45deg,D_SOD-123,225.116913,-88.825587,90,top
D28,D_45deg,D_SOD-123,225.116913,-107.825587,90,top
D29,D_45deg,D_SOD-123,244.116913,-54.825587,90,top
D30,D_45deg,D_SOD-123,244.116913,-73.475587,90,top
D31,D_45deg,D_SOD-123,244.116913,-92.975587,90,top
D32,D_45deg,D_SOD-123,244.116913,-111.475587,90,top
D33,D_45deg,D_SOD-123,83.017,-50.176,90,top
